# 1-D Scan of Total Energy
#
# Step Number	     Energy (Ha)
       1			   -268.97745000
       2			   -268.97680000
       3			   -268.97555000
       4			   -268.97485000
       5			   -268.97557000
       6			   -268.97726000
       7			   -268.97885000
       8			   -268.97954000
       9			   -268.97910000
      10			   -268.97771000
      11			   -268.97593000
      12			   -268.97471000
      13			   -268.97480000
      14			   -268.97588000
      15			   -268.97673000
      16			   -268.97632000
      17			   -268.97452000
      18			   -268.97207000
      19			   -268.96956000
      20			   -268.96804000
      21			   -268.96874000
      22			   -268.97111000
      23			   -268.97404000
      24			   -268.97655000
      25			   -268.97745000
