# 1-D Scan of Total Energy
#
# Step Number	     Energy (Ha)
       1			   -268.97745000
       2			   -268.97670000
       3			   -268.97482000
       4			   -268.97278000
       5			   -268.97193000
       6			   -268.97288000
       7			   -268.97488000
       8			   -268.97671000
       9			   -268.97745000
      10			   -268.97672000
      11			   -268.97485000
      12			   -268.97282000
      13			   -268.97193000
      14			   -268.97288000
      15			   -268.97494000
      16			   -268.97676000
      17			   -268.97744000
      18			   -268.97672000
      19			   -268.97496000
      20			   -268.97300000
      21			   -268.97194000
      22			   -268.97267000
      23			   -268.97473000
      24			   -268.97669000
      25			   -268.97745000
